date,open,high,low,close,volume,symbol
2025-02-26,96.91,97.8,96.17,97.78,4980683,000661
2025-02-27,97.65,99.08,96.91,98.0,5231255,000661
2025-02-28,97.5,98.55,94.9,94.98,6254628,000661
2025-03-03,94.98,97.07,94.93,95.59,4229092,000661
2025-03-04,95.2,97.5,94.76,96.8,4323254,000661
2025-03-05,96.8,96.9,95.56,96.0,2865244,000661
2025-03-06,96.5,97.28,95.95,96.93,4046003,000661
2025-03-07,96.4,97.0,95.8,96.05,3434140,000661
2025-03-10,96.5,97.3,95.6,96.44,3186501,000661
2025-03-11,95.75,99.6,95.12,99.14,8906229,000661
2025-03-12,99.13,99.49,97.8,97.84,4194679,000661
2025-03-13,97.86,98.26,96.8,97.3,3141979,000661
2025-03-14,97.68,103.0,97.39,102.97,12194146,000661
2025-03-17,103.03,104.6,102.63,102.88,8388734,000661
2025-03-18,104.2,106.78,103.3,105.23,10152696,000661
2025-03-19,104.77,105.24,103.15,103.53,5211665,000661
2025-03-20,103.5,103.8,101.49,101.65,4424132,000661
2025-03-21,101.4,102.49,99.96,101.27,4801346,000661
2025-03-24,101.19,101.47,98.88,99.73,4592079,000661
2025-03-25,99.73,100.37,99.15,100.1,3053787,000661
2025-03-26,100.08,100.08,98.19,98.96,3944269,000661
2025-03-27,98.67,99.51,97.7,99.03,4261399,000661
2025-03-28,99.0,101.26,98.71,99.83,5971700,000661
2025-03-31,99.41,100.74,96.8,97.8,5336286,000661
2025-04-01,97.77,103.89,97.77,102.06,10389614,000661
2025-04-02,102.09,102.3,100.91,101.5,3493363,000661
2025-04-03,100.41,102.65,100.4,101.92,4213305,000661
2025-04-07,97.09,99.53,91.85,94.8,10412498,000661
2025-04-08,95.31,97.19,95.17,96.7,8025860,000661
2025-04-09,95.0,97.6,93.4,97.16,7390506,000661
2025-04-10,97.88,100.0,97.27,99.09,6954110,000661
2025-04-11,98.3,99.1,97.6,98.02,3810774,000661
2025-04-14,98.3,99.8,98.1,98.42,4655381,000661
