date,total_market_cap,circulating_market_cap,pe
2025-02-26,,,111.853
2025-02-27,,,110.7995
2025-02-28,,,108.8166
2025-03-03,,,109.6221
2025-03-04,,,111.5742
2025-03-05,,,111.5432
2025-03-06,,,111.791
2025-03-07,,,117.4612
2025-03-10,,,117.6161
2025-03-11,,,119.9089
2025-03-12,,,118.7935
2025-03-13,,,119.816
2025-03-14,,,119.63
2025-03-17,,,118.8554
2025-03-18,,,118.1428
2025-03-19,,,117.74
2025-03-20,,,117.2133
2025-03-21,,,116.3147
2025-03-24,,,115.2303
2025-03-25,,,114.2078
2025-03-26,,,114.3627
2025-03-27,,,113.7121
2025-03-28,,,113.3712
2025-03-31,,,135.3923
2025-04-01,,,137.4862
2025-04-02,,,123.7264
2025-04-03,,,122.2307
2025-04-07,,,118.529
2025-04-08,,,121.9316
2025-04-09,,,128.2507
2025-04-10,,,128.475
2025-04-11,,,127.802
2025-04-14,,,128.5498
2025-04-15,,,126.0446
2025-04-16,,,127.7646
2025-04-17,,,128.2507
2025-04-18,,,127.0916
2025-04-21,,,127.9889
2025-04-22,,,127.9142
2025-04-23,,,126.2316
2025-04-24,,,124.1377
2025-04-25,,,124.9229
2025-04-28,,,122.5673
2025-04-29,,,122.5299
2025-04-30,,,122.642
2025-05-06,,,124.3994
2025-05-07,,,128.7741
2025-05-08,,,131.5411
2025-05-09,,,127.8768
2025-05-12,,,134.2332
2025-05-13,,,129.9706
2025-05-14,,,128.8863
2025-05-15,,,127.5402
2025-05-16,,,126.3437
2025-05-19,,,127.5402
2025-05-20,,,127.3533
2025-05-21,,,128.1759
2025-05-22,,,127.1289
2025-05-23,,,126.755
2025-05-26,,,127.2411
2025-05-27,,,126.0446
2025-05-28,,,125.895
2025-05-29,,,130.9428
2025-05-30,,,132.588
2025-06-03,,,132.6628
2025-06-04,,,131.2419
2025-06-05,,,132.1019
2025-06-06,,,131.8028
2025-06-09,,,134.308
2025-06-10,,,132.1019
2025-06-11,,,134.2332
2025-06-12,,,134.7567
2025-06-13,,,135.168
2025-06-16,,,133.635
2025-06-17,,,133.1489
2025-06-18,,,133.5228
2025-06-19,,,131.915
2025-06-20,,,130.1202
2025-06-23,,,131.055
2025-06-24,,,131.8402
2025-06-25,,,135.8784
2025-06-26,,,135.4297
2025-06-27,,,135.9532
2025-06-30,,,287.5325
2025-07-01,,,283.5038
2025-07-02,,,278.2814
2025-07-03,,,277.6099
2025-07-04,,,278.0576
2025-07-07,,,277.5353
2025-07-08,,,278.8036
2025-07-09,,,274.7003
2025-07-10,,,273.805
2025-07-11,,,276.4908
2025-07-14,,,273.432
2025-07-15,,,274.5511
2025-07-16,,,273.805
2025-07-17,,,283.1308
2025-07-18,,,291.9343
2025-07-21,,,290.3676
2025-07-22,,,289.9199
2025-07-23,,,284.3991
2025-07-24,,,298.3505
2025-07-25,,,302.976
2025-07-28,,,311.6304
2025-07-29,,,319.8371
2025-07-30,,,316.9274
2025-07-31,,,316.0321
2025-08-01,,,307.8255
2025-08-04,,,311.5558
2025-08-05,,,307.7508
2025-08-06,,,312.1526
2025-08-07,,,311.0335
2025-08-08,,,308.7207
2025-08-11,,,309.6906
2025-08-12,,,304.692
2025-08-13,,,304.319
2025-08-14,,,294.6201
2025-08-15,,,294.2471
2025-08-18,,,296.5599
2025-08-19,,,291.039
2025-08-20,,,294.3217
2025-08-21,,,296.0377
2025-08-22,,,304.4682
2025-08-25,,,309.243
2025-08-26,,,304.2444
2025-08-27,,,295.8884
2025-08-28,,,300.141
2025-08-29,,,301.1855
2025-09-01,,,300.141
2025-09-02,,,296.4853
2025-09-03,,,285.5928
2025-09-04,,,277.8337
2025-09-05,,,279.2513
2025-09-08,,,280.3703
2025-09-09,,,277.6845
2025-09-10,,,277.3861
2025-09-11,,,281.9371
2025-09-12,,,282.1609
2025-09-15,,,279.6243
2025-09-16,,,276.4162
2025-09-17,,,276.4162
2025-09-18,,,275.6702
2025-09-19,,,283.8768
2025-09-22,,,280.5942
2025-09-23,,,282.9816
2025-09-24,,,284.3991
2025-09-25,,,279.6989
2025-09-26,,,295.4408
2025-09-29,,,301.1109
2025-09-30,,,464.517
2025-10-09,,,469.0322
2025-10-10,,,463.636
2025-10-13,,,473.3272
2025-10-14,,,468.1512
2025-10-15,,,466.9398
2025-10-16,,,462.0942
2025-10-17,,,444.2536
2025-10-20,,,442.6016
2025-10-21,,,441.6105
2025-10-22,,,435.113
2025-10-23,,,430.818
2025-10-24,,,441.0599
2025-10-27,,,438.3067
2025-10-28,,,441.0599
2025-10-29,,,439.5181
2025-10-30,,,436.3244
2025-10-31,,,430.3775
2025-11-03,,,428.7256
2025-11-04,,,422.4484
2025-11-05,,,424.9813
2025-11-06,,,436.7649
2025-11-07,,,431.4788
2025-11-10,,,436.1041
2025-11-11,,,428.3952
2025-11-12,,,419.6952
2025-11-13,,,419.3648
2025-11-14,,,415.2901
2025-11-17,,,413.3078
2025-11-18,,,411.9863
2025-11-19,,,413.9685
2025-11-20,,,407.8014
2025-11-21,,,402.6254
2025-11-24,,,414.9597
2025-11-25,,,410.885
2025-11-26,,,409.7837
2025-11-27,,,409.4533
2025-11-28,,,409.4533
2025-12-01,,,411.4356
2025-12-02,,,407.0305
2025-12-03,,,403.8368
2025-12-04,,,403.8368
2025-12-05,,,407.3609
2025-12-08,,,407.3609
2025-12-09,,,401.6343
2025-12-10,,,407.1407
2025-12-11,,,401.0837
2025-12-12,,,406.1495
2025-12-15,,,412.4268
2025-12-16,,,407.0305
2025-12-17,,,404.828
2025-12-18,,,415.1799
2025-12-19,,,431.4788
2025-12-22,,,425.2015
2025-12-23,,,421.5673
2025-12-24,,,427.6243
2025-12-25,,,455.2663
2025-12-26,,,443.2624
2025-12-29,,,443.813
2025-12-30,,,439.9586
2025-12-31,,,440.8396
2026-01-05,,,442.2713
2026-01-06,,,455.3764
2026-01-07,,,469.2525
2026-01-08,,,482.0272
2026-01-09,,,484.2298
2026-01-12,,,494.9121
2026-01-13,,,464.9575
2026-01-14,,,455.1562
2026-01-15,,,454.4954
2026-01-16,,,446.7865
2026-01-19,,,491.4982
2026-01-20,,,500.3084
2026-01-21,,,514.6249
2026-01-22,,,537.9719
2026-01-23,,,525.3073
2026-01-26,,,506.4755
2026-01-27,,,557.134
2026-01-28,,,547.3327
2026-01-29,,,529.7123
2026-01-30,,,510.2198
2026-02-02,,,498.6564
2026-02-03,,,534.4478
2026-02-04,,,544.139
2026-02-05,,,549.9758
2026-02-06,,,534.0073
2026-02-09,,,538.6327
2026-02-10,,,554.7112
2026-02-11,,,540.5048
2026-02-12,,,572.3316
2026-02-13,,,629.5978
2026-02-24,,,642.5928
2026-02-25,,,637.7472
2026-02-26,,,657.2398
