date,open,high,low,close,volume,symbol
2025-02-26,5.05,5.14,5.04,5.08,130526351,601669
2025-02-27,5.09,5.11,5.03,5.06,80985479,601669
2025-02-28,5.05,5.09,4.99,5.0,114210750,601669
2025-03-03,5.0,5.03,4.93,4.95,132274242,601669
2025-03-04,4.95,4.95,4.89,4.91,124245529,601669
2025-03-05,4.91,4.92,4.86,4.91,86739473,601669
2025-03-06,4.92,4.94,4.86,4.92,117937477,601669
2025-03-07,4.91,4.91,4.85,4.85,123350487,601669
2025-03-10,4.85,4.86,4.77,4.81,128605941,601669
2025-03-11,4.79,4.84,4.77,4.84,78587463,601669
2025-03-12,4.84,4.88,4.84,4.86,81419818,601669
2025-03-13,4.86,4.88,4.82,4.84,80634589,601669
2025-03-14,4.85,4.98,4.84,4.95,164504992,601669
2025-03-17,4.96,5.0,4.94,4.95,100690477,601669
2025-03-18,4.97,4.98,4.91,4.93,72720062,601669
2025-03-19,4.92,4.94,4.9,4.91,58386585,601669
2025-03-20,4.9,4.95,4.9,4.92,70404665,601669
2025-03-21,4.91,4.98,4.89,4.89,116722154,601669
2025-03-24,4.9,4.92,4.85,4.89,75602700,601669
2025-03-25,4.89,4.98,4.87,4.97,108804794,601669
2025-03-26,4.96,4.98,4.93,4.96,60589209,601669
2025-03-27,4.97,4.97,4.91,4.93,63659689,601669
2025-03-28,4.93,4.93,4.86,4.88,69880200,601669
2025-03-31,4.88,4.91,4.78,4.79,101873970,601669
2025-04-01,4.8,4.83,4.79,4.81,58425375,601669
2025-04-02,4.81,4.84,4.8,4.83,44876914,601669
2025-04-03,4.81,4.89,4.79,4.86,77816355,601669
2025-04-07,4.75,4.75,4.38,4.54,212421435,601669
2025-04-08,4.54,4.76,4.54,4.76,193584968,601669
2025-04-09,4.73,4.81,4.63,4.8,136208749,601669
2025-04-10,4.85,4.85,4.76,4.8,97922075,601669
2025-04-11,4.79,4.79,4.73,4.76,67797516,601669
2025-04-14,4.78,4.79,4.74,4.75,64124885,601669
2025-04-15,4.75,4.75,4.7,4.73,49853297,601669
2025-04-16,4.72,4.78,4.68,4.78,78708467,601669
2025-04-17,4.76,4.79,4.73,4.77,72446930,601669
2025-04-18,4.76,4.78,4.74,4.77,35254000,601669
2025-04-21,4.77,4.79,4.74,4.75,39063812,601669
2025-04-22,4.74,4.76,4.73,4.74,39147364,601669
2025-04-23,4.75,4.77,4.73,4.74,45135956,601669
2025-04-24,4.75,4.77,4.72,4.75,46557811,601669
2025-04-25,4.76,4.84,4.74,4.82,88538742,601669
2025-04-28,4.82,4.84,4.78,4.81,51399073,601669
2025-04-29,4.82,4.86,4.81,4.85,65119286,601669
2025-04-30,4.82,4.82,4.72,4.72,95444725,601669
2025-05-06,4.73,4.75,4.72,4.74,66320940,601669
2025-05-07,4.8,4.81,4.75,4.81,95323856,601669
2025-05-08,4.79,4.85,4.77,4.82,56726991,601669
2025-05-09,4.81,4.82,4.78,4.78,37004726,601669
