date,total_market_cap,circulating_market_cap,pe
2025-02-26,,,21.4733
2025-02-27,,,21.7457
2025-02-28,,,21.8114
2025-03-03,,,21.8208
2025-03-04,,,21.9711
2025-03-05,,,21.8678
2025-03-06,,,22.115
2025-03-07,,,22.0587
2025-03-10,,,21.9178
2025-03-11,,,22.8381
2025-03-12,,,22.5376
2025-03-13,,,22.5376
2025-03-14,,,23.2263
2025-03-17,,,23.2513
2025-03-18,,,23.1261
2025-03-19,,,23.3202
2025-03-20,,,22.8037
2025-03-21,,,22.7473
2025-03-24,,,23.1762
2025-03-25,,,23.8836
2025-03-26,,,23.7208
2025-03-27,,,24.2812
2025-03-28,,,23.9556
2025-03-31,,,23.295
2025-04-01,,,23.9793
2025-04-02,,,23.9823
2025-04-03,,,24.352
2025-04-07,,,23.8846
2025-04-08,,,24.2237
2025-04-09,,,24.9476
2025-04-10,,,24.5291
2025-04-11,,,24.3245
2025-04-14,,,23.8632
2025-04-15,,,23.9732
2025-04-16,,,24.2237
2025-04-17,,,24.4039
2025-04-18,,,24.3153
2025-04-21,,,23.9029
2025-04-22,,,23.7502
2025-04-23,,,23.5852
2025-04-24,,,23.7196
2025-04-25,,,23.6463
2025-04-28,,,23.6005
2025-04-29,,,22.8827
2025-04-30,,,22.7269
2025-05-06,,,22.8704
2025-05-07,,,22.7788
2025-05-08,,,22.7208
2025-05-09,,,22.6566
2025-05-12,,,22.681
2025-05-13,,,22.5894
2025-05-14,,,22.7299
2025-05-15,,,22.3206
2025-05-16,,,22.1556
2025-05-19,,,22.0945
2025-05-20,,,22.2564
2025-05-21,,,22.3786
2025-05-22,,,22.1159
2025-05-23,,,21.9846
2025-05-26,,,22.0548
2025-05-27,,,22.5283
2025-05-28,,,23.2156
2025-05-29,,,22.9682
2025-05-30,,,22.6566
2025-06-03,,,23.4722
2025-06-04,,,23.5119
2025-06-05,,,22.8949
2025-06-06,,,22.5344
2025-06-09,,,22.3573
2025-06-10,,,22.3084
2025-06-11,,,22.342
2025-06-12,,,21.7799
2025-06-13,,,21.2851
2025-06-16,,,21.4408
2025-06-17,,,21.3981
2025-06-18,,,21.7066
2025-06-19,,,21.4867
2025-06-20,,,21.7219
2025-06-23,,,21.5081
2025-06-24,,,21.618
2025-06-25,,,21.7769
2025-06-26,,,21.8624
2025-06-27,,,21.1598
2025-06-30,,,20.5979
2025-07-01,,,20.5772
2025-07-02,,,20.2895
2025-07-03,,,20.2658
2025-07-04,,,20.2687
2025-07-07,,,20.245
2025-07-08,,,20.3992
2025-07-09,,,20.4378
2025-07-10,,,20.3518
2025-07-11,,,20.4052
2025-07-14,,,20.4052
2025-07-15,,,20.2628
2025-07-16,,,20.2361
2025-07-17,,,20.2539
2025-07-18,,,20.3785
2025-07-21,,,20.417
2025-07-22,,,20.7017
2025-07-23,,,20.5594
2025-07-24,,,20.6691
2025-07-25,,,20.6098
2025-07-28,,,20.4615
2025-07-29,,,20.3666
2025-07-30,,,20.503
2025-07-31,,,20.1412
2025-08-01,,,20.1798
2025-08-04,,,20.1205
2025-08-05,,,20.1353
2025-08-06,,,20.1353
2025-08-07,,,20.1946
2025-08-08,,,20.0938
2025-08-11,,,20.1561
2025-08-12,,,20.1501
2025-08-13,,,20.1264
2025-08-14,,,20.0968
2025-08-15,,,20.0463
2025-08-18,,,20.1353
2025-08-19,,,20.1472
2025-08-20,,,20.4052
2025-08-21,,,20.334
2025-08-22,,,20.334
2025-08-25,,,20.6661
2025-08-26,,,20.6928
2025-08-27,,,20.4556
2025-08-28,,,20.2865
2025-08-29,,,20.6098
2025-09-01,,,20.592
2025-09-02,,,20.4734
2025-09-03,,,20.1857
