date,total_market_cap,circulating_market_cap,pe
2025-02-26,,,4.8354
2025-02-27,,,4.877
2025-02-28,,,4.8521
2025-03-03,,,4.8604
2025-03-04,,,4.8521
2025-03-05,,,4.9684
2025-03-06,,,4.8853
2025-03-07,,,4.877
2025-03-10,,,4.8354
2025-03-11,,,4.8438
2025-03-12,,,4.8438
2025-03-13,,,4.8604
2025-03-14,,,4.9019
2025-03-17,,,4.985
2025-03-18,,,4.9767
2025-03-19,,,5.0348
2025-03-20,,,5.0182
2025-03-21,,,4.9767
2025-03-24,,,4.985
2025-03-25,,,5.0598
2025-03-26,,,5.0432
2025-03-27,,,5.0182
2025-03-28,,,5.0016
2025-03-31,,,5.0603
2025-04-01,,,5.0603
2025-04-02,,,5.2027
2025-04-03,,,5.253
2025-04-07,,,4.943
2025-04-08,,,5.0435
2025-04-09,,,5.0016
2025-04-10,,,5.0435
2025-04-11,,,5.0268
2025-04-14,,,5.077
2025-04-15,,,5.0938
2025-04-16,,,5.1524
2025-04-17,,,5.1859
2025-04-18,,,5.2195
2025-04-21,,,5.1357
2025-04-22,,,5.1776
2025-04-23,,,5.1524
2025-04-24,,,5.2195
2025-04-25,,,5.1943
2025-04-28,,,5.2781
2025-04-29,,,5.2446
2025-04-30,,,5.0268
2025-05-06,,,4.9849
2025-05-07,,,5.0687
2025-05-08,,,5.1022
2025-05-09,,,5.1859
2025-05-12,,,5.1859
2025-05-13,,,5.2697
2025-05-14,,,5.3032
2025-05-15,,,5.253
2025-05-16,,,5.1776
2025-05-19,,,5.1943
2025-05-20,,,5.2111
2025-05-21,,,5.2446
2025-05-22,,,5.3032
2025-05-23,,,5.2613
2025-05-26,,,5.2195
2025-05-27,,,5.253
2025-05-28,,,5.2362
2025-05-29,,,5.2195
2025-05-30,,,5.2781
2025-06-03,,,5.4038
2025-06-04,,,5.4289
2025-06-05,,,5.3284
2025-06-06,,,5.3703
2025-06-09,,,5.3954
2025-06-10,,,5.4289
2025-06-11,,,5.4205
2025-06-12,,,5.4708
2025-06-13,,,5.4205
2025-06-16,,,5.5713
2025-06-17,,,5.5797
2025-06-18,,,5.7138
2025-06-19,,,5.6886
2025-06-20,,,5.7305
2025-06-23,,,5.8143
2025-06-24,,,5.7975
2025-06-25,,,5.8227
2025-06-26,,,5.8897
2025-06-27,,,5.7975
2025-06-30,,,5.6419
2025-07-01,,,5.7493
2025-07-02,,,5.8153
2025-07-03,,,5.7988
2025-07-04,,,5.9475
2025-07-07,,,5.9805
2025-07-08,,,5.9475
2025-07-09,,,5.9888
2025-07-10,,,5.8484
2025-07-11,,,5.741
2025-07-14,,,5.7988
2025-07-15,,,5.7658
2025-07-16,,,5.6832
2025-07-17,,,5.6501
2025-07-18,,,5.6667
2025-07-21,,,5.6088
2025-07-22,,,5.5262
2025-07-23,,,5.5345
2025-07-24,,,5.4519
2025-07-25,,,5.4188
2025-07-28,,,5.4436
2025-07-29,,,5.3362
2025-07-30,,,5.3775
2025-07-31,,,5.328
2025-08-01,,,5.3528
2025-08-04,,,5.3445
2025-08-05,,,5.4106
2025-08-06,,,5.3858
2025-08-07,,,5.4023
2025-08-08,,,5.3941
2025-08-11,,,5.328
2025-08-12,,,5.3197
2025-08-13,,,5.2784
