date,open,high,low,close,volume,symbol
2025-02-26,5.48,5.51,5.43,5.49,38206140,600023
2025-02-27,5.47,5.52,5.42,5.51,41551436,600023
2025-02-28,5.49,5.55,5.45,5.49,39968956,600023
2025-03-03,5.56,5.63,5.42,5.49,102052147,600023
2025-03-04,5.47,5.52,5.43,5.51,50975490,600023
2025-03-05,5.51,5.62,5.47,5.56,64254654,600023
2025-03-06,5.55,5.57,5.44,5.45,99505170,600023
2025-03-07,5.44,5.44,5.36,5.37,57563962,600023
2025-03-10,5.36,5.37,5.33,5.35,33886439,600023
2025-03-11,5.33,5.39,5.31,5.39,44684054,600023
2025-03-12,5.37,5.43,5.33,5.4,39065773,600023
2025-03-13,5.39,5.59,5.38,5.58,110993587,600023
2025-03-14,5.54,5.61,5.53,5.56,59219298,600023
2025-03-17,5.55,5.63,5.54,5.57,46807058,600023
2025-03-18,5.58,5.6,5.52,5.54,39649326,600023
2025-03-19,5.54,5.63,5.51,5.61,58836575,600023
2025-03-20,5.61,5.66,5.59,5.61,43628734,600023
2025-03-21,5.61,5.71,5.59,5.64,60966823,600023
2025-03-24,5.63,5.68,5.6,5.64,43857752,600023
2025-03-25,5.65,5.9,5.6,5.79,132821078,600023
2025-03-26,5.76,5.8,5.69,5.75,96113599,600023
2025-03-27,5.75,5.77,5.59,5.6,74927336,600023
2025-03-28,5.61,5.66,5.57,5.61,50987700,600023
2025-03-31,5.63,5.8,5.62,5.7,86771722,600023
2025-04-01,5.7,5.88,5.67,5.85,85351169,600023
2025-04-02,5.82,5.83,5.72,5.76,73661936,600023
2025-04-03,5.73,5.86,5.72,5.79,70187118,600023
2025-04-07,5.6,5.69,5.36,5.55,123544986,600023
2025-04-08,5.52,5.65,5.48,5.58,105485391,600023
2025-04-09,5.5,5.61,5.42,5.61,104046749,600023
2025-04-10,5.63,5.66,5.56,5.58,77085736,600023
2025-04-11,5.6,5.62,5.49,5.54,58039243,600023
2025-04-14,5.56,5.66,5.51,5.65,65806946,600023
2025-04-15,5.65,5.69,5.57,5.69,53843938,600023
2025-04-16,5.67,5.74,5.62,5.69,58677527,600023
2025-04-17,5.65,5.71,5.61,5.69,44885477,600023
2025-04-18,5.67,5.67,5.58,5.6,47517039,600023
2025-04-21,5.6,5.78,5.59,5.75,82454793,600023
2025-04-22,5.73,5.78,5.69,5.69,39729315,600023
