date,open,high,low,close,volume,symbol
2025-02-26,5.76,5.83,5.76,5.81,33155482,688009
2025-02-27,5.8,5.81,5.7,5.78,33318670,688009
2025-02-28,5.79,5.88,5.77,5.78,50338257,688009
2025-03-03,5.8,6.04,5.8,5.93,60802081,688009
2025-03-04,5.91,6.05,5.89,5.93,37817893,688009
2025-03-05,5.97,5.98,5.89,5.94,31018789,688009
2025-03-06,5.95,6.0,5.81,5.81,62593563,688009
2025-03-07,5.82,5.87,5.71,5.73,55578982,688009
2025-03-10,5.73,5.76,5.68,5.72,29678101,688009
2025-03-11,5.68,5.74,5.65,5.71,28480538,688009
2025-03-12,5.73,5.75,5.7,5.7,23098347,688009
2025-03-13,5.7,5.71,5.57,5.6,43759296,688009
2025-03-14,5.61,5.7,5.59,5.69,33544968,688009
2025-03-17,5.7,5.74,5.69,5.71,23541316,688009
2025-03-18,5.73,5.73,5.69,5.71,22325626,688009
2025-03-19,5.7,5.71,5.66,5.67,19846059,688009
2025-03-20,5.68,5.71,5.65,5.67,22586840,688009
2025-03-21,5.66,5.74,5.61,5.61,36516623,688009
2025-03-24,5.61,5.64,5.57,5.61,26729686,688009
2025-03-25,5.6,5.75,5.58,5.74,34143304,688009
2025-03-26,5.71,5.76,5.7,5.73,20788296,688009
2025-03-27,5.73,5.77,5.68,5.75,22044471,688009
2025-03-28,5.76,5.78,5.72,5.76,24568702,688009
2025-03-31,5.76,5.82,5.61,5.63,34777611,688009
2025-04-01,5.64,5.68,5.55,5.58,46165612,688009
2025-04-02,5.59,5.59,5.51,5.53,26431412,688009
2025-04-03,5.52,5.62,5.5,5.57,29551903,688009
2025-04-07,5.41,5.45,4.85,4.98,65412497,688009
2025-04-08,5.07,5.48,5.07,5.38,86733534,688009
2025-04-09,5.35,5.48,5.24,5.44,57910966,688009
2025-04-10,5.45,5.49,5.38,5.38,41096445,688009
2025-04-11,5.39,5.39,5.29,5.33,33175236,688009
2025-04-14,5.35,5.37,5.32,5.32,28877566,688009
2025-04-15,5.33,5.38,5.28,5.37,27645383,688009
2025-04-16,5.34,5.39,5.29,5.37,25745361,688009
2025-04-17,5.35,5.36,5.32,5.33,16909597,688009
2025-04-18,5.33,5.38,5.29,5.36,18727137,688009
2025-04-21,5.36,5.36,5.31,5.34,16465659,688009
2025-04-22,5.34,5.4,5.33,5.36,21324586,688009
2025-04-23,5.36,5.44,5.34,5.34,19298135,688009
2025-04-24,5.36,5.37,5.32,5.34,16860197,688009
2025-04-25,5.36,5.38,5.33,5.34,16991123,688009
2025-04-28,5.32,5.35,5.3,5.32,16718871,688009
2025-04-29,5.32,5.38,5.3,5.36,21313941,688009
2025-04-30,5.33,5.34,5.08,5.09,67545507,688009
2025-05-06,5.12,5.13,5.08,5.1,37254648,688009
2025-05-07,5.14,5.19,5.11,5.18,41239981,688009
2025-05-08,5.16,5.21,5.14,5.19,27188919,688009
2025-05-09,5.18,5.2,5.12,5.13,23425216,688009
2025-05-12,5.17,5.25,5.15,5.22,30015849,688009
2025-05-13,5.26,5.27,5.22,5.22,20446397,688009
2025-05-14,5.22,5.24,5.14,5.21,30072575,688009
2025-05-15,5.22,5.22,5.16,5.16,17995260,688009
2025-05-16,5.16,5.2,5.12,5.12,21544953,688009
2025-05-19,5.13,5.19,5.1,5.18,22979059,688009
2025-05-20,5.18,5.2,5.15,5.16,16977296,688009
2025-05-21,5.17,5.18,5.12,5.14,21942688,688009
2025-05-22,5.13,5.14,5.1,5.1,20721765,688009
2025-05-23,5.1,5.11,5.04,5.04,28212555,688009
2025-05-26,5.05,5.06,5.02,5.03,19826657,688009
2025-05-27,5.04,5.06,5.02,5.05,20827856,688009
2025-05-28,5.06,5.08,5.0,5.01,20878463,688009
2025-05-29,5.02,5.08,5.01,5.07,21689033,688009
2025-05-30,5.06,5.08,5.0,5.02,23908184,688009
2025-06-03,5.03,5.08,4.99,5.06,28318173,688009
2025-06-04,5.04,5.07,5.03,5.04,23588591,688009
2025-06-05,5.05,5.09,5.03,5.08,28150925,688009
2025-06-06,5.07,5.1,5.06,5.07,17886170,688009
2025-06-09,5.09,5.12,5.07,5.11,23321661,688009
2025-06-10,5.12,5.15,5.06,5.08,30076256,688009
2025-06-11,5.08,5.14,5.07,5.11,21303217,688009
2025-06-12,5.12,5.14,5.08,5.11,21868982,688009
2025-06-13,5.1,5.14,5.05,5.08,40588336,688009
2025-06-16,5.06,5.08,5.04,5.07,20320410,688009
2025-06-17,5.08,5.11,5.05,5.09,22448232,688009
2025-06-18,5.1,5.11,5.07,5.07,14213400,688009
2025-06-19,5.07,5.1,5.02,5.04,21708709,688009
2025-06-20,5.03,5.09,5.03,5.07,18277320,688009
2025-06-23,5.05,5.1,5.01,5.09,20836571,688009
2025-06-24,5.08,5.15,5.08,5.14,25045473,688009
2025-06-25,5.15,5.17,5.11,5.16,25653216,688009
2025-06-26,5.17,5.19,5.13,5.13,25654768,688009
2025-06-27,5.14,5.19,5.13,5.13,24677792,688009
2025-06-30,5.15,5.17,5.13,5.14,19982429,688009
2025-07-01,5.15,5.16,5.13,5.14,19533827,688009
2025-07-02,5.15,5.19,5.14,5.17,26921399,688009
2025-07-03,5.18,5.2,5.17,5.18,18068620,688009
2025-07-04,5.19,5.24,5.16,5.21,28408960,688009
2025-07-07,5.21,5.27,5.21,5.24,29302075,688009
2025-07-08,5.24,5.29,5.24,5.28,23165826,688009
2025-07-09,5.28,5.4,5.28,5.34,35040762,688009
2025-07-10,5.33,5.37,5.32,5.36,20620973,688009
2025-07-11,5.37,5.41,5.34,5.37,25489680,688009
2025-07-14,5.4,5.5,5.39,5.43,33464718,688009
2025-07-15,5.43,5.46,5.34,5.38,27409234,688009
2025-07-16,5.38,5.39,5.31,5.33,25829567,688009
2025-07-17,5.35,5.36,5.32,5.32,20486612,688009
2025-07-18,5.34,5.35,5.3,5.34,24182572,688009
2025-07-21,5.34,5.55,5.34,5.54,40778452,688009
2025-07-22,5.54,5.62,5.5,5.6,32831244,688009
2025-07-23,5.63,5.64,5.57,5.57,37947252,688009
2025-07-24,5.58,5.65,5.56,5.65,34891843,688009
2025-07-25,5.5,5.5,5.42,5.43,40053195,688009
2025-07-28,5.44,5.49,5.42,5.47,29579069,688009
2025-07-29,5.49,5.49,5.39,5.45,30061852,688009
2025-07-30,5.44,5.47,5.39,5.41,24886183,688009
2025-07-31,5.41,5.41,5.27,5.29,35895686,688009
2025-08-01,5.29,5.39,5.28,5.32,33730307,688009
2025-08-04,5.31,5.35,5.29,5.33,21509760,688009
2025-08-05,5.34,5.41,5.33,5.41,25636642,688009
2025-08-06,5.41,5.45,5.39,5.41,20924654,688009
2025-08-07,5.41,5.43,5.37,5.4,18844725,688009
2025-08-08,5.39,5.49,5.37,5.45,32125842,688009
2025-08-11,5.5,5.53,5.44,5.45,24798664,688009
2025-08-12,5.45,5.47,5.41,5.43,24175541,688009
2025-08-13,5.43,5.47,5.42,5.46,24622887,688009
2025-08-14,5.46,5.47,5.32,5.32,38707719,688009
2025-08-15,5.33,5.4,5.32,5.39,26134006,688009
2025-08-18,5.39,5.49,5.37,5.48,41174582,688009
2025-08-19,5.48,5.49,5.41,5.42,26999996,688009
2025-08-20,5.42,5.46,5.39,5.46,30163330,688009
2025-08-21,5.45,5.52,5.44,5.48,43220400,688009
2025-08-22,5.48,5.56,5.42,5.55,55543942,688009
2025-08-25,5.57,5.73,5.56,5.62,73519338,688009
2025-08-26,5.61,5.64,5.57,5.61,39061747,688009
2025-08-27,5.61,5.64,5.49,5.49,56441366,688009
2025-08-28,5.5,5.64,5.46,5.63,74834173,688009
2025-08-29,5.64,5.67,5.54,5.58,55447312,688009
2025-09-01,5.6,5.66,5.54,5.57,58632146,688009
2025-09-02,5.59,5.59,5.47,5.51,45026288,688009
2025-09-03,5.53,5.54,5.4,5.44,41279967,688009
2025-09-04,5.41,5.42,5.26,5.31,51042073,688009
2025-09-05,5.32,5.34,5.27,5.32,41616267,688009
2025-09-08,5.33,5.35,5.28,5.35,42611153,688009
2025-09-09,5.35,5.36,5.27,5.31,32340047,688009
2025-09-10,5.3,5.33,5.28,5.28,24537516,688009
2025-09-11,5.29,5.38,5.26,5.37,40654096,688009
2025-09-12,5.36,5.39,5.34,5.35,40963837,688009
2025-09-15,5.37,5.44,5.34,5.36,40564430,688009
2025-09-16,5.37,5.37,5.29,5.32,31310986,688009
2025-09-17,5.31,5.39,5.3,5.37,33417344,688009
2025-09-18,5.37,5.4,5.28,5.29,48242807,688009
2025-09-19,5.31,5.33,5.28,5.33,31931165,688009
2025-09-22,5.32,5.33,5.23,5.26,32729675,688009
2025-09-23,5.26,5.28,5.15,5.28,43059596,688009
2025-09-24,5.25,5.34,5.24,5.33,37459843,688009
2025-09-25,5.34,5.35,5.26,5.27,30418129,688009
2025-09-26,5.28,5.36,5.24,5.32,35571996,688009
2025-09-29,5.31,5.35,5.27,5.33,29534301,688009
2025-09-30,5.32,5.39,5.32,5.38,33595627,688009
2025-10-09,5.4,5.48,5.36,5.47,47472784,688009
2025-10-10,5.44,5.52,5.43,5.48,40847642,688009
2025-10-13,5.38,5.48,5.36,5.46,44175257,688009
2025-10-14,5.48,5.55,5.44,5.47,47681681,688009
2025-10-15,5.49,5.51,5.39,5.46,38630335,688009
2025-10-16,5.45,5.46,5.41,5.42,29896810,688009
2025-10-17,5.42,5.45,5.27,5.29,37560589,688009
2025-10-20,5.31,5.34,5.27,5.29,33442860,688009
2025-10-21,5.32,5.43,5.29,5.42,45524566,688009
2025-10-22,5.42,5.45,5.38,5.39,26824783,688009
2025-10-23,5.39,5.39,5.33,5.38,22362338,688009
2025-10-24,5.4,5.42,5.36,5.38,21781499,688009
2025-10-27,5.4,5.52,5.39,5.49,47670305,688009
2025-10-28,5.47,5.51,5.44,5.46,32637125,688009
2025-10-29,5.44,5.45,5.37,5.42,28176798,688009
2025-10-30,5.42,5.46,5.39,5.39,30600795,688009
2025-10-31,5.39,5.41,5.3,5.31,53569563,688009
2025-11-03,5.31,5.33,5.28,5.32,28057246,688009
2025-11-04,5.33,5.35,5.29,5.31,23359245,688009
2025-11-05,5.29,5.34,5.28,5.32,21236042,688009
2025-11-06,5.33,5.4,5.31,5.35,31905939,688009
2025-11-07,5.35,5.4,5.33,5.38,24311941,688009
2025-11-10,5.4,5.5,5.37,5.5,39002503,688009
2025-11-11,5.5,5.51,5.47,5.48,29986141,688009
2025-11-12,5.5,5.53,5.43,5.45,27273099,688009
2025-11-13,5.47,5.48,5.43,5.46,22677383,688009
2025-11-14,5.46,5.51,5.45,5.45,25477234,688009
2025-11-17,5.45,5.46,5.31,5.33,44412896,688009
2025-11-18,5.32,5.34,5.29,5.3,24931408,688009
2025-11-19,5.31,5.32,5.29,5.3,19284703,688009
2025-11-20,5.32,5.36,5.3,5.32,23995555,688009
2025-11-21,5.32,5.32,5.23,5.24,36568631,688009
2025-11-24,5.25,5.26,5.18,5.2,35455981,688009
2025-11-25,5.21,5.22,5.17,5.18,27129057,688009
2025-11-26,5.2,5.21,5.17,5.17,19324479,688009
2025-11-27,5.18,5.19,5.16,5.17,18726871,688009
2025-11-28,5.18,5.21,5.15,5.2,18954129,688009
2025-12-01,5.2,5.25,5.19,5.23,26256743,688009
2025-12-02,5.24,5.26,5.21,5.24,21924933,688009
2025-12-03,5.24,5.27,5.22,5.26,17537021,688009
2025-12-04,5.26,5.28,5.23,5.25,16967059,688009
2025-12-05,5.25,5.31,5.23,5.3,24907532,688009
2025-12-08,5.29,5.32,5.27,5.27,21418307,688009
2025-12-09,5.28,5.3,5.23,5.24,17777831,688009
2025-12-10,5.25,5.33,5.23,5.32,27793718,688009
2025-12-11,5.33,5.4,5.3,5.35,44988362,688009
2025-12-12,5.35,5.46,5.33,5.43,68605753,688009
2025-12-15,5.44,5.51,5.42,5.49,49374332,688009
2025-12-16,5.5,5.51,5.41,5.42,37388781,688009
2025-12-17,5.41,5.43,5.33,5.42,32090999,688009
2025-12-18,5.39,5.46,5.37,5.43,26545569,688009
2025-12-19,5.44,5.52,5.43,5.48,27014333,688009
2025-12-22,5.49,5.5,5.42,5.44,28060994,688009
2025-12-23,5.43,5.5,5.41,5.44,23586545,688009
2025-12-24,5.43,5.49,5.41,5.48,21380032,688009
2025-12-25,5.47,5.54,5.46,5.5,25765580,688009
2025-12-26,5.5,5.53,5.46,5.48,23444034,688009
2025-12-29,5.48,5.52,5.42,5.49,29805795,688009
2025-12-30,5.48,5.49,5.42,5.43,23214010,688009
2025-12-31,5.42,5.5,5.42,5.47,21420999,688009
2026-01-05,5.48,5.52,5.45,5.51,32785429,688009
2026-01-06,5.51,5.58,5.51,5.57,36466839,688009
2026-01-07,5.55,5.57,5.52,5.55,35216410,688009
2026-01-08,5.55,5.6,5.54,5.58,35350815,688009
2026-01-09,5.6,5.64,5.54,5.56,34484724,688009
2026-01-12,5.57,5.68,5.55,5.68,45118554,688009
2026-01-13,5.68,5.69,5.55,5.57,37284042,688009
2026-01-14,5.59,5.61,5.47,5.49,54393129,688009
2026-01-15,5.48,5.5,5.37,5.39,48998168,688009
2026-01-16,5.42,5.46,5.32,5.35,54781850,688009
2026-01-19,5.33,5.4,5.32,5.36,38126644,688009
2026-01-20,5.36,5.42,5.35,5.41,39394408,688009
2026-01-21,5.41,5.49,5.39,5.48,53229737,688009
2026-01-22,5.49,5.83,5.48,5.75,103976487,688009
2026-01-23,5.75,5.75,5.6,5.63,77807211,688009
2026-01-26,5.65,5.67,5.56,5.59,46109613,688009
2026-01-27,5.6,5.61,5.48,5.53,41867939,688009
2026-01-28,5.55,5.62,5.51,5.57,46280292,688009
2026-01-29,5.57,5.62,5.52,5.6,48974569,688009
2026-01-30,5.61,5.63,5.49,5.5,40997003,688009
2026-02-02,5.49,5.58,5.43,5.44,46076027,688009
2026-02-03,5.46,5.56,5.45,5.54,34887906,688009
