date,total_market_cap,circulating_market_cap,pe
2025-02-26,,,15.8181
2025-02-27,,,15.8287
2025-02-28,,,15.5103
2025-03-03,,,15.7863
2025-03-04,,,15.8924
2025-03-05,,,15.8924
2025-03-06,,,16.0942
2025-03-07,,,15.8818
2025-03-10,,,15.8606
2025-03-11,,,15.7969
2025-03-12,,,16.0305
2025-03-13,,,16.0835
2025-03-14,,,16.2428
2025-03-17,,,16.2003
2025-03-18,,,16.1897
2025-03-19,,,16.2746
2025-03-20,,,16.126
2025-03-21,,,16.0835
2025-03-24,,,16.2322
2025-03-25,,,16.7842
2025-03-26,,,16.5506
2025-03-27,,,16.2109
2025-03-28,,,16.0411
2025-03-31,,,14.6484
2025-04-01,,,15.529
2025-04-02,,,15.2648
2025-04-03,,,15.2648
2025-04-07,,,13.7775
2025-04-08,,,14.2472
2025-04-09,,,14.4331
2025-04-10,,,14.5114
2025-04-11,,,14.345
2025-04-14,,,14.9517
2025-04-15,,,14.8636
2025-04-16,,,14.9126
2025-04-17,,,15.1083
2025-04-18,,,14.9615
2025-04-21,,,15.0593
2025-04-22,,,15.0496
2025-04-23,,,14.9811
2025-04-24,,,14.9908
2025-04-25,,,14.9126
2025-04-28,,,14.8832
2025-04-29,,,14.8441
2025-04-30,,,14.8832
2025-05-06,,,15.8128
2025-05-07,,,15.9694
2025-05-08,,,15.9498
2025-05-09,,,15.9889
2025-05-12,,,15.9106
2025-05-13,,,15.9302
2025-05-14,,,15.9009
2025-05-15,,,15.9498
2025-05-16,,,16.0183
2025-05-19,,,15.8519
2025-05-20,,,15.7932
2025-05-21,,,15.7541
2025-05-22,,,15.6856
2025-05-23,,,15.5388
2025-05-26,,,15.7639
2025-05-27,,,15.5584
2025-05-28,,,15.7052
2025-05-29,,,15.7737
2025-05-30,,,15.6171
2025-06-03,,,15.5486
2025-06-04,,,15.6171
2025-06-05,,,15.6562
2025-06-06,,,15.8324
2025-06-09,,,16.351
2025-06-10,,,16.2238
2025-06-11,,,16.1357
2025-06-12,,,16.0672
2025-06-13,,,16.3412
2025-06-16,,,16.2336
2025-06-17,,,16.488
2025-06-18,,,16.488
2025-06-19,,,16.1064
2025-06-20,,,15.9106
2025-06-23,,,15.9791
2025-06-24,,,16.214
2025-06-25,,,16.1944
2025-06-26,,,16.1651
2025-06-27,,,16.3412
2025-06-30,,,16.7926
2025-07-01,,,16.7324
2025-07-02,,,16.8929
2025-07-03,,,16.6421
2025-07-04,,,16.7023
2025-07-07,,,17.0835
2025-07-08,,,17.244
2025-07-09,,,17.254
2025-07-10,,,17.2239
2025-07-11,,,17.2841
2025-07-14,,,17.3443
2025-07-15,,,17.2339
2025-07-16,,,17.1236
2025-07-17,,,17.3644
2025-07-18,,,17.896
2025-07-21,,,19.6816
2025-07-22,,,21.6478
2025-07-23,,,23.8145
2025-07-24,,,23.2628
2025-07-25,,,20.9957
2025-07-28,,,20.9757
2025-07-29,,,21.1261
2025-07-30,,,20.4139
2025-07-31,,,20.2634
2025-08-01,,,19.9023
2025-08-04,,,20.0628
2025-08-05,,,20.0427
2025-08-06,,,20.0427
2025-08-07,,,19.9525
