date,total_market_cap,circulating_market_cap,pe
2025-02-26,,,5.4069
2025-02-27,,,5.4752
2025-02-28,,,5.524
2025-03-03,,,5.485
2025-03-04,,,5.5338
2025-03-05,,,5.6411
2025-03-06,,,5.524
2025-03-07,,,5.4069
2025-03-10,,,5.4069
2025-03-11,,,5.5045
2025-03-12,,,5.4264
2025-03-13,,,5.485
2025-03-14,,,5.524
2025-03-17,,,5.5728
2025-03-18,,,5.5728
2025-03-19,,,5.7192
2025-03-20,,,5.6802
2025-03-21,,,5.7094
2025-03-24,,,5.7582
2025-03-25,,,5.8949
2025-03-26,,,5.9046
2025-03-27,,,5.7875
2025-03-28,,,5.8754
2025-03-31,,,5.8203
2025-04-01,,,5.782
2025-04-02,,,5.8682
2025-04-03,,,5.8969
2025-04-07,,,5.514
2025-04-08,,,5.715
2025-04-09,,,5.6767
2025-04-10,,,5.7724
2025-04-11,,,5.8777
2025-04-14,,,5.9639
2025-04-15,,,6.1841
2025-04-16,,,6.2511
2025-04-17,,,6.2224
2025-04-18,,,6.2894
2025-04-21,,,6.2511
2025-04-22,,,6.3468
2025-04-23,,,6.3277
2025-04-24,,,6.4713
2025-04-25,,,6.5
2025-04-28,,,6.567
2025-04-29,,,6.6053
2025-04-30,,,6.5574
2025-05-06,,,6.3947
2025-05-07,,,6.5383
2025-05-08,,,6.7297
2025-05-09,,,6.8446
2025-05-12,,,6.8159
2025-05-13,,,6.8542
2025-05-14,,,6.9595
2025-05-15,,,7.0073
2025-05-16,,,6.9595
2025-05-19,,,7.0552
2025-05-20,,,7.1605
2025-05-21,,,7.1605
2025-05-22,,,7.3328
2025-05-23,,,7.2371
2025-05-26,,,7.0552
2025-05-27,,,6.9978
2025-05-28,,,6.8733
2025-05-29,,,6.8063
2025-05-30,,,6.9403
2025-06-03,,,7.4094
2025-06-04,,,7.3711
2025-06-05,,,7.1318
2025-06-06,,,7.1126
2025-06-09,,,7.2179
2025-06-10,,,7.2275
2025-06-11,,,7.1509
2025-06-12,,,7.0935
2025-06-13,,,6.9403
2025-06-16,,,6.9786
2025-06-17,,,6.8446
2025-06-18,,,6.9403
2025-06-19,,,6.9308
2025-06-20,,,6.9786
2025-06-23,,,7.1797
2025-06-24,,,7.2084
2025-06-25,,,7.1318
2025-06-26,,,7.2371
2025-06-27,,,6.902
2025-06-30,,,6.7227
2025-07-01,,,6.911
2025-07-02,,,6.8357
2025-07-03,,,6.8263
2025-07-04,,,6.9769
2025-07-07,,,6.9204
2025-07-08,,,6.8451
2025-07-09,,,7.0711
2025-07-10,,,7.0334
2025-07-11,,,6.9204
2025-07-14,,,7.0711
2025-07-15,,,7.0052
2025-07-16,,,6.8922
2025-07-17,,,6.7792
2025-07-18,,,6.7886
2025-07-21,,,6.7321
2025-07-22,,,6.5721
2025-07-23,,,6.5344
2025-07-24,,,6.3837
2025-07-25,,,6.4308
2025-07-28,,,6.4967
2025-07-29,,,6.3649
2025-07-30,,,6.4308
2025-07-31,,,6.3837
2025-08-01,,,6.3178
2025-08-04,,,6.4685
2025-08-05,,,6.5062
2025-08-06,,,6.5062
2025-08-07,,,6.4967
2025-08-08,,,6.4779
2025-08-11,,,6.3743
2025-08-12,,,6.3649
2025-08-13,,,6.3367
2025-08-14,,,6.2425
2025-08-15,,,6.1672
2025-08-18,,,6.1295
2025-08-19,,,6.1107
2025-08-20,,,6.186
2025-08-21,,,6.186
2025-08-22,,,6.0919
2025-08-25,,,6.1107
2025-08-26,,,6.0636
2025-08-27,,,5.9412
2025-08-28,,,5.9695
2025-08-29,,,5.9224
2025-09-01,,,6.0071
2025-09-02,,,6.2613
2025-09-03,,,6.1672
2025-09-04,,,6.0919
2025-09-05,,,6.0919
2025-09-08,,,6.1672
2025-09-09,,,6.1578
2025-09-10,,,6.2708
2025-09-11,,,6.2331
2025-09-12,,,6.1013
2025-09-15,,,5.9977
2025-09-16,,,6.026
2025-09-17,,,6.073
2025-09-18,,,5.9789
2025-09-19,,,5.8941
2025-09-22,,,5.9036
2025-09-23,,,6.0448
2025-09-24,,,6.1578
2025-09-25,,,5.9412
2025-09-26,,,6.0825
2025-09-29,,,6.2143
2025-09-30,,,6.2049
2025-10-09,,,6.073
2025-10-10,,,6.1107
2025-10-13,,,6.3649
2025-10-14,,,6.7415
2025-10-15,,,6.7321
2025-10-16,,,6.8545
2025-10-17,,,6.8545
2025-10-20,,,6.7321
