date,total_market_cap,circulating_market_cap,pe
2025-02-26,,,327.9533
2025-02-27,,,319.3681
2025-02-28,,,310.783
2025-03-03,,,315.9341
2025-03-04,,,321.0852
2025-03-05,,,315.9341
2025-03-06,,,315.9341
2025-03-07,,,319.3681
2025-03-10,,,319.3681
2025-03-11,,,327.9533
2025-03-12,,,326.2363
2025-03-13,,,327.9533
2025-03-14,,,326.2363
2025-03-17,,,324.5192
2025-03-18,,,324.5192
2025-03-19,,,321.0852
2025-03-20,,,321.0852
2025-03-21,,,319.3681
2025-03-24,,,317.6511
2025-03-25,,,319.3681
2025-03-26,,,321.0852
2025-03-27,,,317.6511
2025-03-28,,,314.217
2025-03-31,,,330.0147
2025-04-01,,,331.8584
2025-04-02,,,330.0147
2025-04-03,,,331.8584
2025-04-07,,,304.2035
2025-04-08,,,315.2655
2025-04-09,,,322.6401
2025-04-10,,,324.4838
2025-04-11,,,328.1711
2025-04-14,,,326.3274
2025-04-15,,,322.6401
2025-04-16,,,324.4838
2025-04-17,,,326.3274
2025-04-18,,,324.4838
2025-04-21,,,330.0147
2025-04-22,,,328.1711
2025-04-23,,,326.3274
2025-04-24,,,324.4838
2025-04-25,,,330.0147
2025-04-28,,,328.1711
2025-04-29,,,324.4838
2025-04-30,,,318.9528
2025-05-06,,,337.3894
2025-05-07,,,337.3894
2025-05-08,,,335.5457
2025-05-09,,,331.8584
2025-05-12,,,333.7021
2025-05-13,,,331.8584
2025-05-14,,,333.7021
2025-05-15,,,333.7021
2025-05-16,,,331.8584
2025-05-19,,,330.0147
2025-05-20,,,330.0147
2025-05-21,,,328.1711
2025-05-22,,,324.4838
2025-05-23,,,322.6401
2025-05-26,,,322.6401
2025-05-27,,,322.6401
2025-05-28,,,320.7965
2025-05-29,,,322.6401
2025-05-30,,,320.7965
2025-06-03,,,318.9528
2025-06-04,,,324.4838
2025-06-05,,,322.6401
2025-06-06,,,322.6401
2025-06-09,,,330.0147
2025-06-10,,,326.3274
2025-06-11,,,337.3894
2025-06-12,,,339.233
2025-06-13,,,333.7021
2025-06-16,,,335.5457
2025-06-17,,,333.7021
2025-06-18,,,326.3274
2025-06-19,,,320.7965
2025-06-20,,,320.7965
2025-06-23,,,322.6401
2025-06-24,,,326.3274
2025-06-25,,,330.0147
2025-06-26,,,326.3274
2025-06-27,,,326.3274
2025-06-30,,,263.5066
2025-07-01,,,263.5066
2025-07-02,,,269.395
2025-07-03,,,267.9229
2025-07-04,,,266.4508
2025-07-07,,,264.9787
2025-07-08,,,270.8671
2025-07-09,,,267.9229
2025-07-10,,,279.6997
2025-07-11,,,307.6697
2025-07-14,,,312.086
2025-07-15,,,298.837
2025-07-16,,,294.4207
2025-07-17,,,295.8928
2025-07-18,,,315.0302
2025-07-21,,,323.8628
2025-07-22,,,322.3907
2025-07-23,,,337.1117
2025-07-24,,,370.9701
2025-07-25,,,363.6096
2025-07-28,,,370.9701
2025-07-29,,,390.1075
2025-07-30,,,429.8543
2025-07-31,,,395.9959
2025-08-01,,,372.4422
2025-08-04,,,369.498
2025-08-05,,,381.2748
2025-08-06,,,372.4422
2025-08-07,,,385.6912
2025-08-08,,,379.8027
2025-08-11,,,378.3306
2025-08-12,,,369.498
2025-08-13,,,369.498
2025-08-14,,,368.0259
2025-08-15,,,369.498
2025-08-18,,,394.5238
2025-08-19,,,391.5796
2025-08-20,,,388.6354
2025-08-21,,,394.5238
2025-08-22,,,400.4122
2025-08-25,,,440.159
2025-08-26,,,407.7727
2025-08-27,,,410.7169
2025-08-28,,,412.189
2025-08-29,,,410.7169
2025-09-01,,,404.8285
2025-09-02,,,390.1075
2025-09-03,,,376.8585
2025-09-04,,,359.1933
2025-09-05,,,365.0817
2025-09-08,,,362.1375
2025-09-09,,,359.1933
2025-09-10,,,357.7212
2025-09-11,,,365.0817
2025-09-12,,,370.9701
2025-09-15,,,369.498
2025-09-16,,,368.0259
2025-09-17,,,365.0817
2025-09-18,,,354.777
2025-09-19,,,350.3607
2025-09-22,,,350.3607
2025-09-23,,,338.5838
2025-09-24,,,340.0559
2025-09-25,,,340.0559
2025-09-26,,,335.6396
2025-09-29,,,344.4723
2025-09-30,,,106.4496
2025-10-09,,,115.3949
2025-10-10,,,113.6059
2025-10-13,,,124.7875
2025-10-14,,,130.1548
2025-10-15,,,123.893
2025-10-16,,,122.1039
2025-10-17,,,121.2094
2025-10-20,,,118.9731
2025-10-21,,,119.4203
2025-10-22,,,117.6313
2025-10-23,,,118.0785
2025-10-24,,,117.6313
2025-10-27,,,119.4203
2025-10-28,,,115.8422
2025-10-29,,,117.184
2025-10-30,,,117.184
2025-10-31,,,113.6059
2025-11-03,,,118.9731
2025-11-04,,,125.2348
2025-11-05,,,121.6567
2025-11-06,,,121.6567
2025-11-07,,,120.7621
2025-11-10,,,119.4203
2025-11-11,,,118.0785
2025-11-12,,,116.2895
2025-11-13,,,118.0785
2025-11-14,,,118.5258
2025-11-17,,,117.6313
2025-11-18,,,114.0531
2025-11-19,,,114.5004
2025-11-20,,,113.1586
2025-11-21,,,107.7914
2025-11-24,,,109.1332
2025-11-25,,,109.5805
2025-11-26,,,108.2387
2025-11-27,,,108.2387
2025-11-28,,,108.6859
2025-12-01,,,111.3695
2025-12-02,,,109.5805
2025-12-03,,,109.1332
2025-12-04,,,108.2387
2025-12-05,,,110.475
2025-12-08,,,109.5805
2025-12-09,,,107.7914
2025-12-10,,,107.3441
2025-12-11,,,105.5551
2025-12-12,,,106.8969
2025-12-15,,,106.4496
2025-12-16,,,103.766
2025-12-17,,,105.1078
2025-12-18,,,104.6605
2025-12-19,,,106.0023
2025-12-22,,,107.3441
2025-12-23,,,106.4496
2025-12-24,,,106.4496
2025-12-25,,,106.8969
2025-12-26,,,107.3441
2025-12-29,,,107.3441
2025-12-30,,,106.4496
2025-12-31,,,106.4496
2026-01-05,,,108.6859
2026-01-06,,,112.7113
2026-01-07,,,115.3949
2026-01-08,,,113.1586
2026-01-09,,,116.2895
2026-01-12,,,120.3149
2026-01-13,,,116.7367
2026-01-14,,,113.6059
2026-01-15,,,113.6059
2026-01-16,,,111.8168
2026-01-19,,,106.0023
2026-01-20,,,106.0023
2026-01-21,,,108.6859
2026-01-22,,,111.3695
2026-01-23,,,115.3949
2026-01-26,,,114.9477
2026-01-27,,,113.6059
2026-01-28,,,116.2895
2026-01-29,,,119.8676
2026-01-30,,,112.2641
2026-02-02,,,105.5551
2026-02-03,,,109.5805
2026-02-04,,,110.0277
2026-02-05,,,106.8969
2026-02-06,,,106.4496
2026-02-09,,,113.1586
2026-02-10,,,116.7367
2026-02-11,,,119.4203
2026-02-12,,,119.8676
2026-02-13,,,117.184
2026-02-24,,,118.9731
2026-02-25,,,131.0493
2026-02-26,,,133.2856
