date,open,high,low,close,volume,symbol
2025-02-26,95.77,96.5,93.1,94.58,12224565,603296
2025-02-27,94.72,94.89,89.9,91.58,14399564,603296
2025-02-28,90.67,90.67,86.33,88.26,16047181,603296
2025-03-03,87.5,87.54,82.31,83.63,19257421,603296
2025-03-04,81.5,82.3,78.63,82.2,22236722,603296
2025-03-05,82.2,84.19,81.78,83.66,12146966,603296
2025-03-06,85.45,87.66,84.73,85.05,18506212,603296
2025-03-07,85.0,86.2,83.66,84.74,11697786,603296
2025-03-10,85.34,85.34,82.8,84.34,8064446,603296
2025-03-11,82.21,86.5,82.1,85.77,9457641,603296
2025-03-12,86.57,86.6,82.6,83.4,13550785,603296
2025-03-13,83.3,83.3,79.3,79.56,13917807,603296
2025-03-14,78.8,82.33,78.8,81.88,9914419,603296
2025-03-17,82.95,84.0,81.21,83.46,9098033,603296
2025-03-18,83.45,83.45,80.9,82.67,9595322,603296
2025-03-19,81.89,82.68,80.88,81.69,5898888,603296
2025-03-20,80.5,81.47,79.7,80.37,6548751,603296
2025-03-21,80.0,80.43,78.5,78.95,6343404,603296
2025-03-24,79.19,80.19,77.78,78.94,6188937,603296
2025-03-25,79.0,79.53,76.09,76.39,7550352,603296
2025-03-26,76.3,79.79,76.17,79.3,9708155,603296
2025-03-27,78.99,80.35,78.63,79.23,5547566,603296
2025-03-28,79.11,80.76,78.24,78.34,4220478,603296
2025-03-31,78.0,80.88,78.0,80.08,7546160,603296
2025-04-01,80.53,80.75,77.62,77.73,6091756,603296
2025-04-02,77.58,78.32,77.0,77.43,3414311,603296
2025-04-03,75.27,76.46,70.99,71.88,14982749,603296
2025-04-07,64.88,65.98,64.69,64.69,5440680,603296
2025-04-08,64.6,64.6,58.22,58.7,23234184,603296
2025-04-09,57.88,60.22,55.5,58.66,23320088,603296
2025-04-10,64.53,64.53,64.0,64.53,10685359,603296
2025-04-11,65.0,68.88,63.23,68.1,23464681,603296
2025-04-14,70.1,70.79,67.74,69.33,16565787,603296
2025-04-15,68.4,69.64,66.18,67.94,13030874,603296
2025-04-16,62.0,63.8,61.15,61.5,24288368,603296
2025-04-17,60.88,62.2,60.6,60.71,16270306,603296
2025-04-18,60.8,62.69,60.25,62.06,10845349,603296
2025-04-21,61.7,62.96,61.4,62.64,8800867,603296
2025-04-22,62.44,62.97,61.47,61.51,7693117,603296
2025-04-23,62.9,65.05,62.9,64.37,14622847,603296
2025-04-24,65.6,66.47,64.0,64.18,13411777,603296
2025-04-25,65.38,67.63,65.38,66.35,13859516,603296
2025-04-28,66.5,66.79,64.33,64.42,9105510,603296
2025-04-29,64.78,65.43,63.69,64.64,6482600,603296
2025-04-30,65.12,66.66,64.28,66.0,9760742,603296
2025-05-06,68.0,71.45,67.06,71.24,18329312,603296
2025-05-07,73.2,73.5,69.5,70.32,15927325,603296
2025-05-08,70.93,73.13,70.7,71.99,15236420,603296
2025-05-09,72.88,74.78,70.78,72.86,18107982,603296
2025-05-12,75.5,77.97,73.8,75.37,21574469,603296
2025-05-13,76.2,76.3,73.01,73.19,15639504,603296
2025-05-14,73.44,75.05,73.29,73.89,11445072,603296
2025-05-15,73.88,73.88,70.38,70.43,13093193,603296
2025-05-16,69.93,75.39,69.91,73.96,22799060,603296
2025-05-19,73.8,73.8,69.85,71.45,15773080,603296
2025-05-20,71.83,71.86,69.97,70.75,10660705,603296
2025-05-21,71.1,71.13,69.6,69.81,9064695,603296
2025-05-22,69.24,69.86,68.5,68.7,9876638,603296
2025-05-23,68.45,69.98,68.07,68.2,8935850,603296
2025-05-26,68.0,68.87,67.57,68.44,6296409,603296
2025-05-27,68.45,68.45,66.38,66.75,7507492,603296
2025-05-28,67.0,67.33,66.15,66.39,4725259,603296
2025-05-29,66.57,68.55,66.52,68.18,8216019,603296
2025-05-30,67.5,67.52,65.0,66.31,8085080,603296
2025-06-03,65.89,67.17,65.88,66.76,4936996,603296
2025-06-04,66.77,68.08,66.77,67.7,6116186,603296
2025-06-05,68.46,71.6,68.06,71.09,16670737,603296
2025-06-06,70.78,71.98,70.2,70.77,11231543,603296
2025-06-09,71.21,72.5,70.79,72.12,8365367,603296
2025-06-10,72.13,72.68,69.58,70.24,9335126,603296
2025-06-11,70.21,71.98,69.88,69.94,6356242,603296
2025-06-12,69.9,71.71,69.21,70.99,7231185,603296
2025-06-13,70.0,70.95,68.45,68.68,7870021,603296
2025-06-16,68.56,70.29,68.44,69.29,5398428,603296
2025-06-17,69.44,69.79,68.05,68.25,6860735,603296
2025-06-18,68.25,70.65,67.8,69.87,8124371,603296
2025-06-19,69.6,70.15,68.51,68.87,4886765,603296
2025-06-20,68.9,69.32,67.7,68.26,4944907,603296
2025-06-23,67.34,69.08,67.1,68.45,4476760,603296
2025-06-24,68.72,71.1,68.67,70.9,9043492,603296
2025-06-25,71.82,74.73,71.82,74.5,15505645,603296
2025-06-26,74.98,76.91,74.6,74.84,11783995,603296
2025-06-27,75.32,75.9,73.1,75.27,11044682,603296
2025-06-30,75.24,81.5,75.23,80.68,16624256,603296
2025-07-01,79.99,81.15,78.69,79.43,9143521,603296
2025-07-02,79.31,79.31,77.51,77.78,7447194,603296
2025-07-03,78.34,85.56,77.79,84.43,23699088,603296
2025-07-04,84.39,84.43,82.55,82.89,10116982,603296
2025-07-07,82.47,83.26,81.03,83.17,7964728,603296
2025-07-08,83.27,88.4,82.52,86.49,15573891,603296
2025-07-09,85.63,86.3,83.5,83.94,9652968,603296
2025-07-10,84.74,84.98,82.0,83.88,8812786,603296
2025-07-11,83.18,83.48,79.8,80.27,15977975,603296
2025-07-14,82.2,85.28,82.2,84.19,13979018,603296
2025-07-15,85.88,92.1,85.55,91.09,22993739,603296
2025-07-16,91.08,91.31,88.88,89.17,12045346,603296
2025-07-17,88.6,90.9,88.12,90.6,10545753,603296
2025-07-18,90.76,90.99,86.68,87.18,12434588,603296
2025-07-21,87.18,87.22,84.68,85.84,10416634,603296
2025-07-22,85.82,86.94,83.94,84.34,11442281,603296
2025-07-23,83.9,84.2,82.75,83.84,8109022,603296
2025-07-24,84.15,84.66,81.78,83.61,12320508,603296
2025-07-25,83.8,84.17,83.2,83.8,6863561,603296
2025-07-28,80.0,82.62,78.68,81.79,16886194,603296
2025-07-29,81.79,86.22,80.83,85.78,17826066,603296
2025-07-30,85.78,86.5,84.22,84.75,11873182,603296
2025-07-31,84.55,86.99,81.95,82.45,15381203,603296
2025-08-01,81.98,82.41,79.81,80.39,10515234,603296
2025-08-04,79.0,80.59,78.96,80.29,7221110,603296
2025-08-05,80.88,81.1,79.51,80.07,7435274,603296
2025-08-06,79.71,80.79,79.61,80.22,7654304,603296
2025-08-07,80.24,81.9,79.6,79.78,8680732,603296
2025-08-08,79.65,80.24,79.06,79.31,5660280,603296
2025-08-11,79.52,83.57,79.49,82.96,14142626,603296
2025-08-12,83.1,85.06,82.16,83.19,8704854,603296
2025-08-13,83.49,85.39,82.4,85.2,13126693,603296
2025-08-14,85.0,87.48,84.1,84.7,12280889,603296
2025-08-15,84.6,86.95,84.1,85.41,11626112,603296
2025-08-18,85.86,88.0,84.3,86.75,13704659,603296
2025-08-19,87.21,87.44,85.11,86.51,9885101,603296
2025-08-20,85.0,90.66,83.66,90.3,15558386,603296
2025-08-21,91.0,97.45,90.6,93.94,21977430,603296
2025-08-22,93.6,95.75,91.68,95.22,19445817,603296
2025-08-25,97.4,98.0,92.67,94.64,19442195,603296
2025-08-26,94.0,96.35,93.2,94.79,12731023,603296
2025-08-27,95.09,99.82,94.79,95.94,16026160,603296
2025-08-28,96.0,96.35,92.55,96.06,18782488,603296
2025-08-29,96.25,99.44,94.2,98.35,18822026,603296
2025-09-01,103.26,103.5,95.52,96.11,23296861,603296
2025-09-02,95.0,95.86,90.0,90.82,20181330,603296
2025-09-03,90.99,91.46,88.66,89.2,12670271,603296
2025-09-04,89.58,90.3,82.51,83.78,16885852,603296
2025-09-05,83.9,88.55,82.93,88.0,17081270,603296
2025-09-08,88.5,88.5,85.2,85.87,13556464,603296
2025-09-09,85.7,85.7,82.52,83.22,10135287,603296
2025-09-10,83.51,85.56,82.92,84.24,10618367,603296
