date,total_market_cap,circulating_market_cap,pe
2025-02-26,,,33.5967
2025-02-27,,,33.7556
2025-02-28,,,32.4715
2025-03-03,,,32.273
2025-03-04,,,32.2597
2025-03-05,,,32.2465
2025-03-06,,,33.2261
2025-03-07,,,32.5642
2025-03-10,,,32.273
2025-03-11,,,32.3127
2025-03-12,,,32.3656
2025-03-13,,,32.1009
2025-03-14,,,33.054
2025-03-17,,,33.054
2025-03-18,,,32.9348
2025-03-19,,,32.8819
2025-03-20,,,32.4318
2025-03-21,,,31.8758
2025-03-24,,,31.8361
2025-03-25,,,31.7038
2025-03-26,,,31.6508
2025-03-27,,,31.7964
2025-03-28,,,32.4318
2025-03-31,,,28.9192
2025-04-01,,,29.3142
2025-04-02,,,29.5775
2025-04-03,,,29.5895
2025-04-07,,,28.0454
2025-04-08,,,27.7701
2025-04-09,,,28.1292
2025-04-10,,,28.2369
2025-04-11,,,28.4643
2025-04-14,,,28.4404
2025-04-15,,,28.2848
2025-04-16,,,28.3207
2025-04-17,,,28.1651
2025-04-18,,,28.1172
2025-04-21,,,28.2848
2025-04-22,,,28.2848
2025-04-23,,,28.2609
2025-04-24,,,28.1412
2025-04-25,,,28.3806
2025-04-28,,,28.1771
2025-04-29,,,27.7102
2025-04-30,,,27.8419
2025-05-06,,,28.0454
2025-05-07,,,28.3686
2025-05-08,,,28.4045
2025-05-09,,,28.0454
2025-05-12,,,28.7037
2025-05-13,,,28.5601
2025-05-14,,,29.1586
2025-05-15,,,28.5122
2025-05-16,,,28.213
2025-05-19,,,28.213
2025-05-20,,,28.1531
2025-05-21,,,28.0813
2025-05-22,,,28.0215
2025-05-23,,,27.5905
2025-05-26,,,27.4709
2025-05-27,,,27.4948
2025-05-28,,,27.3631
2025-05-29,,,27.5905
2025-05-30,,,27.5068
2025-06-03,,,27.6743
2025-06-04,,,27.9377
2025-06-05,,,28.3447
2025-06-06,,,27.9736
2025-06-09,,,28.3447
2025-06-10,,,27.8659
2025-06-11,,,28.3087
2025-06-12,,,28.2848
2025-06-13,,,28.0334
2025-06-16,,,28.3686
2025-06-17,,,28.5481
2025-06-18,,,28.2728
2025-06-19,,,27.806
2025-06-20,,,27.5786
2025-06-23,,,27.806
2025-06-24,,,28.4763
2025-06-25,,,29.3501
2025-06-26,,,28.8953
2025-06-27,,,28.7636
2025-06-30,,,24.6072
2025-07-01,,,24.4742
2025-07-02,,,24.4333
2025-07-03,,,24.4947
2025-07-04,,,24.464
2025-07-07,,,24.4435
2025-07-08,,,24.7402
2025-07-09,,,24.7198
2025-07-10,,,24.8937
2025-07-11,,,25.8043
2025-07-14,,,25.4667
2025-07-15,,,25.5179
2025-07-16,,,25.4462
2025-07-17,,,26.3466
2025-07-18,,,26.2341
2025-07-21,,,26.3671
2025-07-22,,,26.5513
2025-07-23,,,26.5513
2025-07-24,,,26.8991
2025-07-25,,,26.715
2025-07-28,,,26.8684
2025-07-29,,,26.9094
2025-07-30,,,26.7047
2025-07-31,,,26.1624
2025-08-01,,,25.9476
2025-08-04,,,26.0704
2025-08-05,,,26.3978
2025-08-06,,,26.408
2025-08-07,,,26.5308
2025-08-08,,,26.2238
2025-08-11,,,26.5206
2025-08-12,,,26.6945
2025-08-13,,,26.8889
2025-08-14,,,26.7866
2025-08-15,,,27.8609
2025-08-18,,,28.4441
2025-08-19,,,27.9632
2025-08-20,,,28.1883
2025-08-21,,,27.6665
2025-08-22,,,28.3623
2025-08-25,,,28.5567
2025-08-26,,,28.3316
2025-08-27,,,27.5028
2025-08-28,,,28.1167
2025-08-29,,,29.0171
2025-09-01,,,28.7204
2025-09-02,,,28.393
2025-09-03,,,27.4823
2025-09-04,,,27.2879
2025-09-05,,,27.5028
2025-09-08,,,27.0935
2025-09-09,,,27.0526
2025-09-10,,,26.7764
2025-09-11,,,27.3698
2025-09-12,,,27.0424
2025-09-15,,,27.0424
2025-09-16,,,27.0833
2025-09-17,,,27.2777
2025-09-18,,,27.3596
2025-09-19,,,26.7968
2025-09-22,,,26.8582
2025-09-23,,,26.2955
2025-09-24,,,26.5103
2025-09-25,,,26.2955
2025-09-26,,,26.1011
2025-09-29,,,27.3084
2025-09-30,,,24.0317
2025-10-09,,,24.0407
2025-10-10,,,24.0048
2025-10-13,,,23.8704
2025-10-14,,,23.7002
2025-10-15,,,23.9063
2025-10-16,,,23.969
2025-10-17,,,23.4314
2025-10-20,,,23.4224
2025-10-21,,,23.6822
2025-10-22,,,23.4045
2025-10-23,,,23.5478
2025-10-24,,,23.7539
2025-10-27,,,24.0675
2025-10-28,,,23.969
2025-10-29,,,24.3095
2025-10-30,,,23.8704
2025-10-31,,,23.4672
2025-11-03,,,23.2611
2025-11-04,,,23.1177
2025-11-05,,,23.0998
2025-11-06,,,23.1267
2025-11-07,,,22.9475
2025-11-10,,,23.2432
2025-11-11,,,23.0102
2025-11-12,,,22.9385
2025-11-13,,,22.9833
2025-11-14,,,22.6787
2025-11-17,,,22.4188
2025-11-18,,,22.4188
2025-11-19,,,22.4636
2025-11-20,,,22.5891
2025-11-21,,,22.2217
2025-11-24,,,22.1948
2025-11-25,,,22.1679
2025-11-26,,,22.1679
2025-11-27,,,22.0604
2025-11-28,,,22.2127
2025-12-01,,,22.598
2025-12-02,,,22.598
2025-12-03,,,22.6876
2025-12-04,,,22.8489
2025-12-05,,,23.0461
2025-12-08,,,23.1625
2025-12-09,,,23.3418
2025-12-10,,,23.4134
2025-12-11,,,23.6464
2025-12-12,,,23.745
2025-12-15,,,23.8256
2025-12-16,,,24.0407
2025-12-17,,,24.6231
2025-12-18,,,23.8973
2025-12-19,,,24.3184
2025-12-22,,,24.2199
2025-12-23,,,23.8973
2025-12-24,,,23.969
2025-12-25,,,24.1392
2025-12-26,,,24.0317
2025-12-29,,,23.96
2025-12-30,,,23.9331
2025-12-31,,,23.9869
2026-01-05,,,24.1392
2026-01-06,,,24.5604
2026-01-07,,,24.2109
2026-01-08,,,23.4851
2026-01-09,,,23.4314
2026-01-12,,,23.6733
2026-01-13,,,23.3328
2026-01-14,,,22.9206
2026-01-15,,,22.6518
2026-01-16,,,22.4726
2026-01-19,,,22.383
2026-01-20,,,22.4457
2026-01-21,,,22.1948
2026-01-22,,,22.1411
2026-01-23,,,22.1411
2026-01-26,,,22.1142
2026-01-27,,,21.8723
2026-01-28,,,21.6214
2026-01-29,,,21.8812
2026-01-30,,,21.5497
2026-02-02,,,21.4063
2026-02-03,,,21.5138
2026-02-04,,,21.8006
2026-02-05,,,22.0246
2026-02-06,,,21.7826
2026-02-09,,,21.8633
2026-02-10,,,21.8006
2026-02-11,,,21.7558
2026-02-12,,,21.6303
2026-02-13,,,21.5228
2026-02-24,,,21.3525
2026-02-25,,,21.4422
2026-02-26,,,21.254
