date,open,high,low,close,volume,symbol
2025-02-26,70.8,70.8,66.8,68.1,8292019,603392
2025-02-27,67.5,68.1,67.2,67.73,3097487,603392
2025-02-28,67.7,68.38,66.54,67.08,3365854,603392
2025-03-03,66.43,67.39,66.3,66.47,2398160,603392
2025-03-04,66.47,68.85,66.12,67.18,2959520,603392
2025-03-05,66.88,67.41,66.6,67.34,1796507,603392
2025-03-06,67.2,68.7,67.01,67.62,2836310,603392
2025-03-07,67.48,67.62,66.6,66.85,2217052,603392
2025-03-10,66.9,67.2,66.44,66.79,1945786,603392
2025-03-11,66.1,67.29,66.1,67.29,1839174,603392
2025-03-12,67.5,67.53,66.73,66.97,1589351,603392
2025-03-13,66.97,67.36,66.62,66.8,1817206,603392
2025-03-14,66.79,70.49,66.51,68.7,6331565,603392
2025-03-17,67.8,67.8,66.67,67.04,4260955,603392
2025-03-18,67.05,67.46,66.7,67.04,2394182,603392
2025-03-19,66.92,67.19,66.78,66.88,1842735,603392
2025-03-20,66.84,67.3,66.53,66.88,1892838,603392
2025-03-21,66.87,67.16,66.1,66.43,2285435,603392
2025-03-24,66.06,66.75,65.77,66.17,1780068,603392
2025-03-25,66.06,66.5,65.76,66.33,1267921,603392
2025-03-26,66.06,66.45,65.99,66.04,1218067,603392
2025-03-27,66.02,66.43,65.81,65.84,1816357,603392
2025-03-28,65.77,65.98,65.1,65.16,2071848,603392
2025-03-31,65.0,65.06,63.91,64.07,1987443,603392
2025-04-01,64.28,65.96,64.11,64.74,2519077,603392
2025-04-02,64.72,65.48,64.45,65.18,1723846,603392
2025-04-03,64.87,65.5,64.65,65.0,1390424,603392
2025-04-07,64.0,64.0,60.23,63.3,6262858,603392
2025-04-08,63.28,65.5,62.11,65.5,5818032,603392
2025-04-09,64.99,66.08,63.6,66.08,3786416,603392
2025-04-10,66.5,67.28,65.31,67.0,4039932,603392
2025-04-11,66.66,68.0,66.29,67.82,3458837,603392
2025-04-14,67.82,67.82,66.61,67.31,3222393,603392
2025-04-15,67.35,68.49,66.06,68.3,3617644,603392
2025-04-16,68.2,72.4,67.66,71.0,7665641,603392
2025-04-17,70.0,70.39,68.28,69.4,3748328,603392
2025-04-18,68.71,68.71,67.01,67.31,2367575,603392
2025-04-21,67.31,67.78,66.84,66.95,1846318,603392
2025-04-22,66.63,67.09,66.11,66.11,1973755,603392
2025-04-23,66.16,66.48,65.31,65.55,2524081,603392
2025-04-24,65.11,65.78,64.87,64.87,2406034,603392
2025-04-25,65.0,66.23,64.3,66.1,2563870,603392
