date,total_market_cap,circulating_market_cap,pe
2025-02-26,,,8.7423
2025-02-27,,,8.8634
2025-02-28,,,8.8876
2025-03-03,,,8.9724
2025-03-04,,,8.9361
2025-03-05,,,8.9361
2025-03-06,,,8.8392
2025-03-07,,,8.9845
2025-03-10,,,8.9966
2025-03-11,,,9.2145
2025-03-12,,,9.4325
2025-03-13,,,9.4688
2025-03-14,,,9.4567
2025-03-17,,,9.7473
2025-03-18,,,9.8442
2025-03-19,,,9.9411
2025-03-20,,,9.8805
2025-03-21,,,9.9411
2025-03-24,,,9.82
2025-03-25,,,9.8684
2025-03-26,,,9.82
2025-03-27,,,9.8321
2025-03-28,,,9.7715
2025-03-31,,,9.6141
2025-04-01,,,9.6868
2025-04-02,,,10.05
2025-04-03,,,10.3285
2025-04-07,,,10.1106
2025-04-08,,,10.3649
2025-04-09,,,10.5344
2025-04-10,,,10.4738
2025-04-11,,,10.2438
2025-04-14,,,10.2922
2025-04-15,,,10.1711
2025-04-16,,,10.4012
2025-04-17,,,10.4133
2025-04-18,,,10.4133
2025-04-21,,,10.2922
2025-04-22,,,10.2922
2025-04-23,,,10.2922
2025-04-24,,,10.716
2025-04-25,,,10.7281
2025-04-28,,,10.6918
2025-04-29,,,10.7886
2025-04-30,,,10.5223
2025-05-06,,,10.7886
2025-05-07,,,10.9461
2025-05-08,,,10.9582
2025-05-09,,,11.2367
2025-05-12,,,11.1761
2025-05-13,,,11.2246
2025-05-14,,,11.2246
2025-05-15,,,11.2488
2025-05-16,,,11.273
2025-05-19,,,11.1398
2025-05-20,,,11.2003
2025-05-21,,,11.2851
2025-05-22,,,11.2609
2025-05-23,,,11.1882
2025-05-26,,,11.2124
2025-05-27,,,11.2124
2025-05-28,,,11.2972
2025-05-29,,,11.2124
2025-05-30,,,11.2124
2025-06-03,,,11.2609
2025-06-04,,,11.2972
2025-06-05,,,11.4062
2025-06-06,,,11.5394
2025-06-09,,,11.3699
2025-06-10,,,11.4667
2025-06-11,,,11.382
2025-06-12,,,11.4183
2025-06-13,,,11.6362
2025-06-16,,,11.7452
2025-06-17,,,11.7937
2025-06-18,,,11.9632
2025-06-19,,,11.9147
2025-06-20,,,11.8421
2025-06-23,,,11.9511
2025-06-24,,,11.9753
2025-06-25,,,12.169
2025-06-26,,,12.1932
2025-06-27,,,12.06
2025-06-30,,,12.7537
2025-07-01,,,12.7408
2025-07-02,,,11.9807
2025-07-03,,,12.1096
2025-07-04,,,12.1869
2025-07-07,,,12.496
2025-07-08,,,12.3028
2025-07-09,,,12.2126
2025-07-10,,,11.6587
2025-07-11,,,11.079
2025-07-14,,,11.0403
2025-07-15,,,11.0661
2025-07-16,,,11.0274
2025-07-17,,,11.0918
2025-07-18,,,10.9888
2025-07-21,,,11.5299
2025-07-22,,,11.3366
2025-07-23,,,11.5685
2025-07-24,,,11.3366
2025-07-25,,,11.0403
2025-07-28,,,10.7955
2025-07-29,,,10.8213
2025-07-30,,,10.8213
2025-07-31,,,10.7054
2025-08-01,,,10.6538
2025-08-04,,,10.7569
2025-08-05,,,10.8471
2025-08-06,,,10.744
2025-08-07,,,10.8084
2025-08-08,,,10.9115
2025-08-11,,,10.8471
2025-08-12,,,10.7955
2025-08-13,,,10.7698
2025-08-14,,,10.8471
2025-08-15,,,10.8084
2025-08-18,,,10.7311
2025-08-19,,,10.6023
2025-08-20,,,10.6925
2025-08-21,,,10.7698
2025-08-22,,,10.7183
2025-08-25,,,10.7827
2025-08-26,,,11.1047
2025-08-27,,,10.9888
2025-08-28,,,10.8857
2025-08-29,,,11.1563
2025-09-01,,,11.4783
2025-09-02,,,11.4912
2025-09-03,,,11.4526
2025-09-04,,,11.2851
2025-09-05,,,11.3237
2025-09-08,,,11.5814
2025-09-09,,,11.4783
2025-09-10,,,11.3495
2025-09-11,,,11.2207
2025-09-12,,,11.1563
2025-09-15,,,11.1434
2025-09-16,,,11.1691
2025-09-17,,,11.298
2025-09-18,,,10.8471
2025-09-19,,,11.079
2025-09-22,,,10.9244
2025-09-23,,,10.9373
2025-09-24,,,10.9115
2025-09-25,,,10.7955
2025-09-26,,,10.7183
2025-09-29,,,10.6152
2025-09-30,,,9.144
2025-10-09,,,9.0762
2025-10-10,,,9.1101
2025-10-13,,,9.3927
2025-10-14,,,9.5283
2025-10-15,,,9.6979
2025-10-16,,,9.6527
2025-10-17,,,9.7657
2025-10-20,,,9.6979
2025-10-21,,,9.6527
2025-10-22,,,10.0144
2025-10-23,,,9.9691
2025-10-24,,,9.9804
2025-10-27,,,9.9917
2025-10-28,,,10.0144
2025-10-29,,,10.0031
2025-10-30,,,10.2291
2025-10-31,,,10.7151
2025-11-03,,,11.009
2025-11-04,,,10.9638
2025-11-05,,,11.2464
2025-11-06,,,11.1446
2025-11-07,,,11.1333
2025-11-10,,,11.2464
2025-11-11,,,11.1107
2025-11-12,,,11.0768
2025-11-13,,,10.749
2025-11-14,,,10.6586
2025-11-17,,,10.8169
2025-11-18,,,10.6812
2025-11-19,,,10.5682
2025-11-20,,,10.5456
2025-11-21,,,10.3873
2025-11-24,,,10.41
2025-11-25,,,10.4891
2025-11-26,,,10.4665
2025-11-27,,,10.4891
2025-11-28,,,10.6586
2025-12-01,,,10.6247
2025-12-02,,,10.6699
2025-12-03,,,10.6812
2025-12-04,,,10.7377
2025-12-05,,,10.4552
2025-12-08,,,10.5343
2025-12-09,,,10.5795
2025-12-10,,,11.0203
2025-12-11,,,10.9073
2025-12-12,,,11.5855
2025-12-15,,,11.4385
2025-12-16,,,11.3368
2025-12-17,,,11.1786
2025-12-18,,,11.1559
2025-12-19,,,11.1672
2025-12-22,,,11.0203
2025-12-23,,,11.122
2025-12-24,,,11.0881
2025-12-25,,,11.2125
2025-12-26,,,11.2464
2025-12-29,,,11.0768
2025-12-30,,,11.2803
2025-12-31,,,11.2464
2026-01-05,,,11.2916
2026-01-06,,,11.3255
2026-01-07,,,11.1786
2026-01-08,,,11.642
2026-01-09,,,11.8228
2026-01-12,,,11.8115
2026-01-13,,,11.755
2026-01-14,,,11.5289
2026-01-15,,,11.5515
2026-01-16,,,11.4272
2026-01-19,,,11.6194
2026-01-20,,,11.7889
2026-01-21,,,11.6759
2026-01-22,,,11.5063
2026-01-23,,,11.2803
2026-01-26,,,11.1333
2026-01-27,,,11.0542
2026-01-28,,,10.8734
2026-01-29,,,10.9299
2026-01-30,,,10.9751
2026-02-02,,,10.8847
2026-02-03,,,11.0542
2026-02-04,,,11.0768
2026-02-05,,,11.1786
2026-02-06,,,11.0203
2026-02-09,,,11.2012
2026-02-10,,,11.1333
2026-02-11,,,11.0203
2026-02-12,,,10.896
2026-02-13,,,10.7943
2026-02-24,,,10.9412
2026-02-25,,,10.9751
2026-02-26,,,11.0994
