date,total_market_cap,circulating_market_cap,pe
2025-02-26,,,7.6569
2025-02-27,,,7.6931
2025-02-28,,,7.675
2025-03-03,,,7.5661
2025-03-04,,,7.548
2025-03-05,,,7.5661
2025-03-06,,,7.5298
2025-03-07,,,7.4936
2025-03-10,,,7.4754
2025-03-11,,,7.5298
2025-03-12,,,7.6206
2025-03-13,,,7.6387
2025-03-14,,,7.6931
2025-03-17,,,7.7476
2025-03-18,,,7.7657
2025-03-19,,,7.929
2025-03-20,,,7.9109
2025-03-21,,,7.8746
2025-03-24,,,7.929
2025-03-25,,,8.0379
2025-03-26,,,7.9109
2025-03-27,,,7.8746
2025-03-28,,,7.9109
2025-03-31,,,8.0269
2025-04-01,,,8.3162
2025-04-02,,,8.2077
2025-04-03,,,8.2619
2025-04-07,,,7.8642
2025-04-08,,,8.0631
2025-04-09,,,8.045
2025-04-10,,,8.045
2025-04-11,,,8.045
2025-04-14,,,8.28
2025-04-15,,,8.2981
2025-04-16,,,8.4066
2025-04-17,,,8.4246
2025-04-18,,,8.3342
2025-04-21,,,8.28
2025-04-22,,,8.2619
2025-04-23,,,8.2077
2025-04-24,,,8.2077
2025-04-25,,,8.28
2025-04-28,,,8.2981
2025-04-29,,,8.1535
2025-04-30,,,8.0811
2025-05-06,,,8.1354
2025-05-07,,,8.1896
2025-05-08,,,8.3342
2025-05-09,,,8.2981
2025-05-12,,,8.2258
2025-05-13,,,8.2258
2025-05-14,,,8.2258
2025-05-15,,,8.28
2025-05-16,,,8.3162
2025-05-19,,,8.3162
2025-05-20,,,8.5331
2025-05-21,,,8.4969
2025-05-22,,,8.5331
2025-05-23,,,8.3523
2025-05-26,,,8.4789
2025-05-27,,,8.4427
2025-05-28,,,8.3704
2025-05-29,,,8.3342
2025-05-30,,,8.2619
2025-06-03,,,8.2619
2025-06-04,,,8.28
2025-06-05,,,8.28
2025-06-06,,,8.3523
2025-06-09,,,8.3523
2025-06-10,,,8.3342
2025-06-11,,,8.3885
2025-06-12,,,8.3704
2025-06-13,,,8.4427
2025-06-16,,,8.515
2025-06-17,,,8.6054
2025-06-18,,,8.5693
2025-06-19,,,8.5331
2025-06-20,,,8.5331
2025-06-23,,,8.5331
2025-06-24,,,8.4969
2025-06-25,,,8.6777
2025-06-26,,,8.8766
2025-06-27,,,8.6416
2025-06-30,,,12.676
2025-07-01,,,13.0688
2025-07-02,,,13.0688
2025-07-03,,,12.9902
2025-07-04,,,12.9641
2025-07-07,,,13.0164
2025-07-08,,,12.9379
2025-07-09,,,12.7545
2025-07-10,,,12.4403
2025-07-11,,,12.3879
2025-07-14,,,12.4403
2025-07-15,,,12.3355
2025-07-16,,,12.3093
2025-07-17,,,12.2307
2025-07-18,,,12.3093
2025-07-21,,,12.4664
2025-07-22,,,12.4926
2025-07-23,,,12.3617
2025-07-24,,,12.2569
2025-07-25,,,12.1784
2025-07-28,,,12.0998
2025-07-29,,,12.0736
2025-07-30,,,12.3093
2025-07-31,,,11.995
2025-08-01,,,11.9165
2025-08-04,,,11.8903
2025-08-05,,,11.995
2025-08-06,,,11.995
2025-08-07,,,12.0474
2025-08-08,,,12.1784
2025-08-11,,,11.9426
2025-08-12,,,11.9165
2025-08-13,,,11.8641
2025-08-14,,,11.7855
2025-08-15,,,11.7855
2025-08-18,,,11.8117
2025-08-19,,,12.4926
2025-08-20,,,12.4926
2025-08-21,,,12.5712
2025-08-22,,,12.545
